,Filler,Finish,Grills,Norton Misc.,Numbers,Prefinished Flooring,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Screens,Stair Treads,Unfinished Flooring,Unfinished Trim
2019-02-24,3411.7410000000004,97496.50199999998,3978.3810000000003,169.983,22107.142,89315.65299999999,6130.314,5459.056,3863.846,10396.578,6325.842,1551.3629999999998,128823.19699999999,16843.202
2019-02-25,3411.7410000000004,97496.50199999998,3978.3810000000003,169.983,22107.142,89315.65299999999,6130.314,5459.056,3863.846,10396.578,6325.842,1551.3629999999998,128823.19699999999,16843.202
2019-02-26,3411.7410000000004,95235.38799999999,3978.3810000000003,169.983,22107.142,89315.65299999999,6130.314,5459.056,3863.846,10396.578,6322.324,1551.3629999999998,128823.19699999999,16843.202
2019-02-27,3393.6050000000005,93525.748,3978.3810000000003,169.983,22107.142,89315.65299999999,6071.014,5590.834,3976.936,10396.578,6276.637999999999,1551.3629999999998,128823.19699999999,16832.198
2019-02-28,3184.7940000000003,109389.77499999998,3942.974,169.983,22107.142,89315.65299999999,6071.014,5362.471,3976.936,10097.686000000002,6265.355,807.116,128823.19699999999,17105.765000000003
2019-03-01,3184.7940000000003,108004.18599999999,3942.974,169.983,22064.61,89315.65299999999,6071.014,5362.471,3784.9160000000006,10097.686000000002,6253.01,807.116,128696.95099999999,17105.765000000003
2019-03-02,3184.7940000000003,104938.95499999999,3914.873,169.983,22064.61,89315.65299999999,6071.014,5362.471,3784.9160000000006,10084.636000000002,6253.01,807.116,120790.816,17002.028000000002
2019-03-03,3184.7940000000003,104938.95499999999,3914.873,169.983,22064.61,89315.65299999999,6071.014,5362.471,3784.9160000000006,10084.636000000002,6253.01,807.116,120790.816,17002.028000000002
2019-03-04,3184.7940000000003,104938.95499999999,3914.873,169.983,22064.61,89315.65299999999,6071.014,5362.471,3784.9160000000006,10084.636000000002,6253.01,807.116,120790.816,17002.028000000002
2019-03-05,3184.7940000000003,104799.511,3894.0280000000002,169.983,22064.61,89315.65299999999,6071.014,5309.106,3784.9160000000006,10035.786000000002,6253.01,807.116,120738.29299999999,17002.028000000002
2019-03-06,2945.954,104226.161,4591.183,169.983,22112.458000000002,89315.65299999999,6071.014,5274.456,3784.9160000000006,9983.961000000001,6253.01,807.116,120738.29299999999,16831.936000000005
2019-03-07,2629.909,98210.491,4473.8060000000005,169.983,20085.959000000003,89315.65299999999,6008.014,4334.208999999999,3303.4860000000003,9983.961000000001,4732.885,1971.9859999999999,114952.51299999999,16583.361000000004
2019-03-08,2594.811,97947.49799999999,4473.8060000000005,169.983,19527.729000000003,89315.65299999999,5980.209000000001,4334.208999999999,3291.457,9983.961000000001,4676.4710000000005,1971.9859999999999,114952.51299999999,16260.276000000005
2019-03-09,2594.811,95654.76999999999,4567.056,169.983,18620.627,89315.65299999999,5980.209000000001,4176.030999999999,3291.457,9983.961000000001,4676.4710000000005,1971.9859999999999,114952.51299999999,16241.520000000004
2019-03-10,2594.811,95654.76999999999,4567.056,169.983,18620.627,89315.65299999999,5980.209000000001,4176.030999999999,3291.457,9983.961000000001,4676.4710000000005,1971.9859999999999,114952.51299999999,16241.520000000004
2019-03-11,2594.811,95654.76999999999,4567.056,169.983,18620.627,89315.65299999999,5980.209000000001,4176.030999999999,3291.457,9983.961000000001,4676.4710000000005,1971.9859999999999,114952.51299999999,16241.520000000004
2019-03-12,2524.181,92771.10199999998,4969.998,169.983,18620.627,89315.65299999999,5980.209000000001,5228.101999999999,3291.457,10292.266000000001,4899.966,1971.9859999999999,114952.51299999999,16209.369000000004
2019-03-13,2470.059,92294.845,4859.069,164.832,18603.897,92533.415,5938.209000000001,5201.66,3285.6650000000004,10268.816000000003,4895.444,1971.9859999999999,114952.51299999999,16197.225000000004
2019-03-14,2470.059,91931.82299999999,4793.421,164.832,20778.087,92533.415,5797.58,5167.01,3281.1140000000005,10268.816000000003,4770.2,1971.9859999999999,114952.51299999999,16365.137000000004
2019-03-15,2433.331,95430.15499999998,5072.421,164.832,20050.994,92533.415,5797.58,5167.01,3230.2000000000007,10146.985999999997,4770.2,1971.9859999999999,114952.51299999999,16281.591000000004
2019-03-16,2433.331,94815.31999999998,4976.421,164.832,20050.994,89339.87999999999,5797.58,5139.759,3230.2000000000007,10097.368,4770.2,1971.9859999999999,112613.935,16244.202000000005
2019-03-17,2433.331,94815.31999999998,4976.421,164.832,20050.994,89339.87999999999,5797.58,5139.759,3230.2000000000007,10097.368,4770.2,1971.9859999999999,112613.935,16244.202000000005
2019-03-18,2433.331,94815.31999999998,4976.421,164.832,20050.994,89339.87999999999,5797.58,5139.759,3230.2000000000007,10097.368,4770.2,1971.9859999999999,112613.935,16244.202000000005
2019-03-19,2286.251,94304.23199999999,4599.236,164.832,20050.994,88441.469,5797.58,5139.759,3230.2000000000007,10097.368,4585.649,1971.9859999999999,112613.935,16225.375000000005
2019-03-20,2286.251,93882.449,4586.224999999999,164.832,19563.134,88441.469,5406.597,4594.677,3230.2000000000007,10090.667,4401.712,1971.9859999999999,112613.935,16211.351000000004
2019-03-21,2250.958,90163.935,4548.901000000001,164.832,22976.134000000002,88441.469,5406.597,4594.677,3230.2000000000007,10090.667,4312.6140000000005,1971.9859999999999,112771.505,16211.351000000004
2019-03-22,2250.958,89427.37999999999,4548.901000000001,164.832,22976.134000000002,86844.84899999999,5406.597,5054.877,3204.7850000000008,10408.166999999998,4960.714000000001,1971.9859999999999,112771.505,16138.837000000003
2019-03-23,1731.725,86588.55999999998,4457.681,164.832,22609.864,85345.68,5406.597,4746.727000000001,3195.683000000001,10357.166999999998,4635.103000000001,1971.9859999999999,100086.435,15861.172000000006
2019-03-24,1731.725,86588.55999999998,4457.681,164.832,22609.864,85345.68,5406.597,4746.727000000001,3195.683000000001,10357.166999999998,4635.103000000001,1971.9859999999999,100086.435,15861.172000000006
2019-03-25,1731.725,86588.55999999998,4457.681,164.832,22609.864,85345.68,5406.597,4746.727000000001,3195.683000000001,10357.166999999998,4635.103000000001,1971.9859999999999,100086.435,15861.172000000006
2019-03-26,1673.965,86310.69499999999,4682.478,164.832,21939.583000000002,85457.98099999999,5389.914000000001,5367.845,3170.268000000001,10540.166999999998,4832.303000000001,1971.9859999999999,100086.435,15832.467000000004
2019-03-27,1471.9759999999999,85955.10299999999,4682.478,164.832,21939.583000000002,85457.98099999999,5389.914000000001,5418.544999999999,3170.268000000001,10512.666999999998,4832.303000000001,1971.9859999999999,100086.435,15807.679000000004
2019-03-28,3057.836,85689.423,4682.478,164.832,21939.583000000002,85457.98099999999,5389.914000000001,5379.217,3170.268000000001,10512.666999999998,4828.785000000001,1971.9859999999999,100086.435,15786.712000000003
