,,Adhesives,Applicators,Fasteners,Filler,Finish,Grills,Lagler Parts,Norton Misc.,Numbers,Parts,Prefinished Flooring,Prefinished Trim,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Rolls,Sandpaper-Screens,Stair Treads,Tools,Underlayment,Unfinished Flooring,Unfinished Trim,WPC,Wickham Miscellaneous
2019-02-23,8609.636,2612.734,4759.943,13347.440999999999,5070.622,119953.44200000002,9704.413,1837.71,308.70300000000003,25863.492,4915.1900000000005,386805.30700000015,9305.546,8829.304,11122.051000000001,5375.639999999998,19711.540000000005,2664.5699999999997,10600.834000000003,4504.033,6520.823999999999,13011.528,175512.91799999995,22031.337000000003,38583.736000000026,4185.954999999999
2019-02-24,8609.636,2612.734,4759.943,13347.440999999999,5070.622,119953.44200000002,9704.413,1837.71,308.70300000000003,25863.492,4915.1900000000005,386805.30700000015,9305.546,8829.304,11122.051000000001,5375.639999999998,19711.540000000005,2664.5699999999997,10600.834000000003,4504.033,6520.823999999999,13011.528,175512.91799999995,22031.337000000003,38583.736000000026,4185.954999999999
2019-02-25,8609.636,2612.734,4759.943,13347.440999999999,5070.622,119953.44200000002,9704.413,1837.71,308.70300000000003,25863.492,4915.1900000000005,386805.30700000015,9305.546,8829.304,11122.051000000001,5375.639999999998,19711.540000000005,2664.5699999999997,10600.834000000003,4504.033,6520.823999999999,13011.528,175512.91799999995,22031.337000000003,38583.736000000026,4185.954999999999
2019-02-26,8609.636,2612.734,4759.943,13347.440999999999,5066.0830000000005,117677.68800000002,9640.073,1837.71,308.70300000000003,25863.492,4915.1900000000005,388200.5970000001,9344.416,8829.304,11122.051000000001,5375.639999999998,19711.540000000005,2664.5699999999997,10597.316000000003,4504.033,6520.823999999999,13011.528,175512.91799999995,22031.337000000003,36886.86200000002,4185.954999999999
2019-02-27,8609.636,2612.734,4759.943,14397.440999999999,5047.947,115968.04800000002,9640.073,1837.71,384.603,25863.492,4915.1900000000005,390173.9070000002,9344.416,8770.003999999999,11253.828999999998,5488.729999999998,19711.540000000005,2485.6349999999998,10551.630000000003,4504.033,6507.983999999999,12893.072,173263.06699999995,22020.333000000006,35357.18300000002,4165.594999999999
2019-02-28,8595.823,2601.734,4673.072,14225.159999999998,4839.136,133837.44000000003,9517.916000000001,1837.71,384.603,26554.0,4915.1900000000005,394317.3770000001,9359.976,8770.003999999999,11025.465999999995,5488.729999999998,19403.398000000005,2485.6349999999998,10540.347000000003,3207.308,6475.476999999998,12806.415,169541.57699999993,22293.899999999998,35282.68800000002,4245.034999999999
2019-03-01,8595.823,2601.734,4673.072,14159.202,4837.676,132554.85100000002,9502.316,1837.71,384.603,26511.468,4915.1900000000005,395788.4340000001,9600.916000000001,8770.003999999999,11025.465999999995,5296.709999999999,19403.398000000005,2485.6349999999998,10528.002000000002,3207.308,6390.218999999999,12667.084,170118.12099999993,22293.899999999998,35282.68800000002,4204.725999999999
2019-03-02,8595.823,2601.734,4673.072,14159.202,4837.676,129429.041,9475.247000000001,1766.21,384.603,26511.468,4915.1900000000005,393814.89400000015,9600.916000000001,8770.003999999999,11025.465999999995,5296.709999999999,19390.348000000005,2485.6349999999998,10528.002000000002,3207.308,6370.695999999999,12667.084,173320.99599999993,22190.163,43964.66200000002,4204.725999999999
2019-03-03,8595.823,2601.734,4673.072,14159.202,4837.676,129429.041,9475.247000000001,1766.21,384.603,26511.468,4915.1900000000005,393814.89400000015,9600.916000000001,8770.003999999999,11025.465999999995,5296.709999999999,19390.348000000005,2485.6349999999998,10528.002000000002,3207.308,6370.695999999999,12667.084,173320.99599999993,22190.163,43964.66200000002,4204.725999999999
2019-03-04,8595.823,2601.734,4673.072,14159.202,4837.676,129429.041,9475.247000000001,1766.21,384.603,26511.468,4915.1900000000005,393814.89400000015,9600.916000000001,8770.003999999999,11025.465999999995,5296.709999999999,19390.348000000005,2485.6349999999998,10528.002000000002,3207.308,6370.695999999999,12667.084,173320.99599999993,22190.163,43964.66200000002,4204.725999999999
2019-03-05,8595.823,2601.734,4673.072,14126.202,4837.676,129289.597,9454.402000000002,1766.21,384.603,26511.468,4915.1900000000005,392745.16900000017,9484.686000000002,8770.003999999999,10972.100999999997,5296.709999999999,19341.498000000003,2485.6349999999998,10528.002000000002,3207.308,6370.695999999999,12637.470000000001,173268.4729999999,22190.163,43641.83800000002,4204.725999999999
2019-03-06,8561.338,2601.734,4673.072,14126.202,4598.836000000001,128661.64700000001,10105.157000000001,1766.21,384.603,26559.316,4915.1900000000005,391849.4890000002,9484.686000000002,8770.003999999999,10937.450999999997,5296.709999999999,19204.873000000003,2485.6349999999998,10528.002000000002,3207.308,6369.4,12637.470000000001,172781.9899999999,22020.071,43662.52300000002,4204.725999999999
2019-03-07,8526.853,2481.734,4431.833,12988.270999999999,4282.790999999999,121438.29000000001,9987.780000000002,1766.21,384.603,24532.817000000003,4915.1900000000005,392241.5490000002,9484.686000000002,8707.003999999999,9448.948999999997,4774.075999999998,18830.760000000002,2215.0950000000003,9007.877,5112.578,6352.329999999999,12580.427,166996.20999999993,21771.496,42774.13200000002,4183.905999999999
2019-03-08,8526.853,2481.734,4431.833,12856.292,4246.027,121081.297,9987.780000000002,1726.01,384.603,23329.237,4913.84,392241.5490000002,9484.686000000002,8679.199,9448.948999999997,4762.046999999999,18830.760000000002,2047.0860000000002,8951.463,4560.698,6352.329999999999,12510.761,181657.2799999999,21400.838000000007,41122.898000000016,4183.905999999999
2019-03-09,8513.467999999999,2481.734,4431.833,12856.292,4246.027,118478.905,10233.280000000002,1726.01,384.603,22422.135000000002,4913.84,394976.9390000002,9380.276,8679.199,9290.770999999997,4762.046999999999,18830.760000000002,2047.0860000000002,8951.463,4560.698,6335.466999999999,12468.525000000001,169853.02099999992,21382.08200000001,41122.898000000016,4163.725999999999
2019-03-10,8513.467999999999,2481.734,4431.833,12856.292,4246.027,118478.905,10233.280000000002,1726.01,384.603,22422.135000000002,4913.84,394976.9390000002,9380.276,8679.199,9290.770999999997,4762.046999999999,18830.760000000002,2047.0860000000002,8951.463,4560.698,6335.466999999999,12468.525000000001,169853.02099999992,21382.08200000001,41122.898000000016,4163.725999999999
2019-03-11,8513.467999999999,2481.734,4431.833,12856.292,4246.027,118478.905,10233.280000000002,1726.01,384.603,22422.135000000002,4913.84,394976.9390000002,9380.276,8679.199,9290.770999999997,4762.046999999999,18830.760000000002,2047.0860000000002,8951.463,4560.698,6335.466999999999,12468.525000000001,169853.02099999992,21382.08200000001,41122.898000000016,4163.725999999999
2019-03-12,8513.467999999999,2481.734,4404.125999999999,12856.292,4175.397,115595.237,10802.622000000005,1726.01,384.603,22422.135000000002,4913.84,392164.15000000014,9380.276,8679.199,10342.841999999999,4762.046999999999,19139.065000000002,2047.0860000000002,9174.958,4560.698,6325.978999999998,12369.223,169149.50699999993,21349.931000000008,41122.898000000016,4163.725999999999
2019-03-13,8513.467999999999,2470.734,4404.125999999999,12784.701,4121.275,115102.90500000003,10977.193000000003,1726.01,379.45200000000006,22405.405,4913.84,435299.3620000002,9726.066000000003,8637.199,10316.4,4756.254999999998,19115.615000000005,2047.0860000000002,9170.436,4560.698,6325.978999999998,12179.402,166091.70899999994,21337.787000000008,40699.86600000001,4265.341999999999
2019-03-14,8478.983,2470.734,4380.9929999999995,12784.701,4119.735,114739.88300000002,10588.412000000004,1726.01,379.45200000000006,25584.405,4913.84,426701.7620000002,9769.856000000003,8496.57,10281.75,4751.703999999998,19115.615000000005,2047.0860000000002,9045.192000000001,4560.698,6316.490999999999,12166.78,151366.60199999996,21495.79900000001,40699.971000000005,4265.341999999999
2019-03-15,8478.983,2470.734,4302.548,12748.690999999999,4083.007,117795.86700000001,10867.412000000002,1726.01,379.45200000000006,24857.311999999998,4913.84,426655.56200000027,9736.146000000002,8496.57,10281.75,4700.789999999998,18964.385000000002,2047.0860000000002,9045.192000000001,4560.698,6316.490999999999,12137.166,154483.34199999998,21412.253000000008,39399.05600000001,4265.341999999999
2019-03-16,8478.983,2470.734,4302.548,12695.331999999999,4083.007,117181.032,10605.012000000002,1726.01,379.45200000000006,24857.311999999998,4901.52,400684.3240000002,9545.696000000002,8496.57,10186.688,4700.789999999998,18914.767,2047.0860000000002,9045.192000000001,4560.698,6302.931,11917.731,152144.76399999997,21374.86400000001,39434.63000000001,4204.393999999998
2019-03-17,8478.983,2470.734,4302.548,12695.331999999999,4083.007,117181.032,10605.012000000002,1726.01,379.45200000000006,24857.311999999998,4901.52,400684.3240000002,9545.696000000002,8496.57,10186.688,4700.789999999998,18914.767,2047.0860000000002,9045.192000000001,4560.698,6302.931,11917.731,152144.76399999997,21374.86400000001,39434.63000000001,4204.393999999998
2019-03-18,8478.983,2470.734,4302.548,12695.331999999999,4083.007,117181.032,10605.012000000002,1726.01,379.45200000000006,24857.311999999998,4901.52,400684.3240000002,9545.696000000002,8496.57,10186.688,4700.789999999998,18914.767,2047.0860000000002,9045.192000000001,4560.698,6302.931,11917.731,152144.76399999997,21374.86400000001,39434.63000000001,4204.393999999998
2019-03-19,8427.402,2470.734,4290.384999999999,12515.928,3935.9269999999997,116640.42400000001,10071.592,1726.01,379.45200000000006,24857.311999999998,4901.52,394652.24300000025,9545.696000000002,8496.57,10186.688,4700.789999999998,18914.767,2047.0860000000002,8819.341000000002,4560.698,6273.294999999999,11831.073,152410.80599999998,21348.897000000008,39362.642000000014,4204.393999999998
2019-03-20,8427.402,2462.734,4285.415,12515.928,3935.9269999999997,116066.721,10100.581000000002,1696.25,379.45200000000006,24369.451999999997,4901.52,396417.46300000016,9545.696000000002,8105.5869999999995,9573.795,4700.789999999998,19055.566000000003,3257.696,8635.404000000002,4560.698,6273.294999999999,11771.844000000001,151878.35599999997,21334.873000000007,45193.168000000005,4204.393999999998
2019-03-21,8420.142,2462.734,4285.415,12350.928,3899.0139999999997,112287.62800000001,10063.257000000001,1678.5,379.45200000000006,27782.451999999997,4901.52,396417.46300000016,9336.656,8105.5869999999995,9573.795,4700.789999999998,19055.566000000003,3257.696,8546.306,4560.698,6273.294999999999,11771.844000000001,152035.92599999998,21334.873000000007,42843.170000000006,4204.393999999998
2019-03-22,8420.142,2228.409,4256.9439999999995,12350.928,3899.0139999999997,111546.153,10063.257000000001,1678.5,379.45200000000006,27782.451999999997,4901.52,384318.7430000002,9336.656,8105.5869999999995,9781.939000000002,4675.374999999999,19373.066000000003,3257.696,9194.406,4560.698,6273.294999999999,11757.037,152035.92599999998,21262.359000000004,42770.46400000001,4204.393999999998
2019-03-23,8282.202999999998,2228.409,4233.49,11900.928,3379.781,108526.773,9972.037,1678.5,379.45200000000006,26310.628000000004,4901.52,373859.79400000017,9302.396,8105.5869999999995,9372.389,4666.272999999999,19322.066000000003,3257.696,8868.794999999998,4560.698,6195.534,11685.186,139350.85599999994,20984.694000000007,41811.09600000001,4184.811999999999
2019-03-24,8282.202999999998,2228.409,4233.49,11900.928,3379.781,108526.773,9972.037,1678.5,379.45200000000006,26310.628000000004,4901.52,373859.79400000017,9302.396,8105.5869999999995,9372.389,4666.272999999999,19322.066000000003,3257.696,8868.794999999998,4560.698,6195.534,11685.186,139350.85599999994,20984.694000000007,41811.09600000001,4184.811999999999
2019-03-25,8282.202999999998,2228.409,4233.49,11900.928,3379.781,108526.773,9972.037,1678.5,379.45200000000006,26310.628000000004,4901.52,373859.79400000017,9302.396,8105.5869999999995,9372.389,4666.272999999999,19322.066000000003,3257.696,8868.794999999998,4560.698,6195.534,11685.186,139350.85599999994,20984.694000000007,41811.09600000001,4184.811999999999
2019-03-26,8221.202999999998,2228.409,4233.49,11829.337000000001,3322.021,108583.028,10196.834,1678.5,379.45200000000006,25640.347,4901.52,375377.2850000002,9490.206,8088.904,9996.867999999999,4640.857999999999,19505.066000000006,3257.696,9028.919999999998,4560.698,6195.534,11672.564,139350.85599999994,20955.989000000005,41811.09600000001,4184.811999999999
2019-03-27,8207.39,2228.409,4218.885,12647.337,3116.706,108090.61300000001,10196.834,1678.5,379.45200000000006,25640.347,4971.000000000001,363538.2460000001,9532.136,8088.904,10047.567999999997,4640.857999999999,19477.566000000006,3257.696,9028.919999999998,4560.698,6195.534,11509.685,146732.23599999995,20931.201,42358.37300000001,4164.502999999999
2019-03-28,8207.39,2217.409,4200.097,12647.337,4702.566000000001,107824.933,10196.834,1678.5,379.45200000000006,25640.347,4971.000000000001,356397.87600000016,9440.636,8088.904,10008.239999999998,4640.857999999999,19477.566000000006,3257.696,9025.401999999998,4560.698,6186.045999999999,11450.456,146732.23599999995,20910.234,42358.37300000001,4148.614999999999
2019-03-29,8207.39,2217.409,4194.341,12647.337,4646.792,107022.988,10196.834,1678.5,379.45200000000006,24595.514000000003,4971.000000000001,385921.9870000002,9361.696,8088.904,10001.31,4631.754999999999,18463.828999999998,3257.696,8922.426999999998,4560.698,6159.263999999999,11272.769,146732.23599999995,20910.234,42358.37300000001,4152.634999999998
2019-03-30,8207.39,2217.409,4168.734,12614.337,4646.792,106594.031,10196.834,1678.5,379.45200000000006,24532.214,4971.000000000001,382052.5620000002,9123.626,8088.904,9982.077999999998,4628.8589999999995,18418.031999999996,3257.696,8917.904999999999,4560.698,6159.263999999999,11245.34,144811.40599999996,20838.101,41221.695000000014,4152.634999999998
